"keys","en","vi"
"DED_PROTO_Z_E_FERRY_PHOTO_TEXT","A photo Nadia sent her sister shows Nadia on the ferry deck at North Pier; the deck clock behind her reads 06:41.","Bức ảnh Nadia gửi cho em gái cho thấy Nadia đứng trên boong phà ở Bến Bắc; đồng hồ trên boong phía sau cô chỉ 06:41."
"DED_PROTO_Z_E_PORT_MAP_NOTE_NAME","Port map note","Ghi chú bản đồ cảng"
"DED_PROTO_Z_E_PORT_MAP_NOTE_TEXT","The fastest route between North Pier and the customs depot takes 30 minutes, even by car.","Tuyến đường nhanh nhất giữa Bến Bắc và kho hải quan mất 30 phút, kể cả đi ô tô."
"DED_PROTO_Z_E_LOCKER_LOG_NAME","Equipment locker log","Sổ tủ thiết bị"
"DED_PROTO_Z_E_LOCKER_LOG_TEXT","Gus's equipment locker log: 06:20 'N. Okafor's seal scanner, left on the charging dock — taken by F. Moreau, will bring it to her'. 06:55 'scanner returned by F. Moreau'.","Sổ tủ thiết bị do Gus ghi: 06:20 'máy quét niêm phong của N. Okafor, để trên đế sạc — F. Moreau lấy, hứa mang đến cho cô ấy'. 06:55 'F. Moreau trả lại máy quét'."
"DED_PROTO_Z_E_CAGE_CAMERA_NAME","Cage-area camera log","Nhật ký camera khu lồng chứa"
"DED_PROTO_Z_E_CAGE_CAMERA_TEXT","Camera on the parcel cage area's only gate (the area is fenced floor to roof): the 06:00 cage check finds the area empty and locks it; 06:23 Felix walks in with a handheld scanner clipped to his belt; 06:51 he walks out with it still clipped on. Nobody else enters or leaves the area between 06:00 and 07:10.","Camera ở cổng duy nhất của khu lồng chứa (khu này được rào kín từ sàn tới mái): đợt kiểm lồng lúc 06:00 xác nhận khu này trống người và khóa lại; 06:23 Felix đi vào, đeo một máy quét cầm tay ở thắt lưng; 06:51 anh ta đi ra, máy vẫn đeo ở đó. Không ai khác ra vào khu này từ 06:00 đến 07:10."
"DED_PROTO_Z_E_CUT_FENCE_NAME","Cut rear fence","Hàng rào sau bị cắt"
"DED_PROTO_Z_E_CUT_FENCE_TEXT","The cage area's rear fence has been cut open, and parcel 118, checked at the 06:00 cage check, has been switched. Wire clippings from the cut lie on top of fresh boot prints leading to the parcel; no prints cross the gap in the fence.","Hàng rào phía sau khu lồng chứa bị cắt thủng, và kiện hàng 118, đã được kiểm lúc kiểm lồng 06:00, nay bị đánh tráo. Những mẩu dây bị cắt nằm đè lên dấu giày mới dẫn tới kiện hàng; không có dấu chân nào đi qua lỗ hổng trên hàng rào."
"DED_PROTO_Z_E_FENCE_SHEET_NAME","Fence contractor's safety sheet","Bảng an toàn của thợ làm hàng rào"
"DED_PROTO_Z_E_FENCE_SHEET_TEXT","Illustrated safety sheet: when chain-link fence is cut, the cut wire ends bend away from the side the force came from.","Bảng an toàn có hình minh họa: khi hàng rào lưới bị cắt, các đầu dây bị cắt cong về phía ngược với phía lực tác động."
"DED_PROTO_Z_E_WIRE_ENDS_NAME","The cut wire ends","Các đầu dây bị cắt"
"DED_PROTO_Z_E_WIRE_ENDS_TEXT","Every cut wire end is bent outward, toward the street.","Mọi đầu dây bị cắt đều cong ra ngoài, về phía đường."
"DED_PROTO_Z_E_YARD_SIGHTING_NAME","Yard guard's log","Sổ của bảo vệ sân bãi"
"DED_PROTO_Z_E_YARD_SIGHTING_TEXT","Yard guard: 'Around 06:47 I watched Gus drive a covered pallet away from beside the parcel cage. I heard wire snap a few minutes after twenty to seven, but not while I was watching him.'","Bảo vệ sân bãi: 'Khoảng 06:47 tôi thấy Gus lái xe chở một pallet có phủ bạt rời khỏi chỗ cạnh lồng chứa kiện hàng. Tôi nghe tiếng dây đứt lúc hơn bảy giờ kém hai mươi vài phút, nhưng không phải lúc đang nhìn anh ta.'"
"DED_PROTO_Z_E_PALLET_MANIFEST_NAME","Dispatch manifest","Phiếu xuất hàng"
"DED_PROTO_Z_E_PALLET_MANIFEST_TEXT","Dispatch manifest: about 06:47, one covered pallet of returned empty crates moved from the dock beside the cage area by G. Hale.","Phiếu xuất hàng: khoảng 06:47, một pallet thùng rỗng hoàn trả có phủ bạt được G. Hale chuyển khỏi bến bốc dỡ cạnh khu lồng chứa."
"DED_PROTO_Z_ST_NADIA_TOOK_FERRY_TEXT","Nadia: 'I left a bit after six to catch the early ferry at North Pier.'","Nadia: 'Tôi rời đi lúc hơn sáu giờ một chút để kịp chuyến phà sớm ở Bến Bắc.'"
"DED_PROTO_Z_ST_NADIA_SCANNER_ON_DOCK_TEXT","Nadia: 'I left my scanner on the charging dock, like always.'","Nadia: 'Tôi để máy quét trên đế sạc, như mọi khi.'"
"DED_PROTO_Z_ST_FELIX_NEVER_HANDLED_TEXT","Felix: 'I've never handled an inspector's scanner.'","Felix: 'Tôi chưa từng cầm máy quét của thanh tra.'"
"DED_PROTO_Z_ST_FELIX_FENCE_ENTRY_TEXT","Felix: 'Thieves obviously cut the fence and got at the cage from the street.'","Felix: 'Rõ ràng bọn trộm đã cắt hàng rào và vào lồng chứa từ phía đường.'"
"DED_PROTO_Z_ST_GUS_NOT_IN_YARD_TEXT","Gus: 'I wasn't anywhere near the yard after half past six.'","Gus: 'Sau sáu rưỡi tôi không hề ở gần sân bãi.'"
"DED_PROTO_Z_HYP_NADIA_TEXT","Hypothesis: Nadia used her own scanner to re-seal the switched parcel.","Giả thuyết: Nadia đã dùng chính máy quét của mình để niêm phong lại kiện hàng bị tráo."
"DED_PROTO_Z_HYP_GUS_TEXT","Hypothesis: Gus hid the real parcel on the covered pallet.","Giả thuyết: Gus đã giấu kiện hàng thật trên pallet phủ bạt."
"DED_PROTO_Z_HYP_OUTSIDER_TEXT","Hypothesis: outside thieves cut the fence and switched the parcel.","Giả thuyết: bọn trộm bên ngoài đã cắt hàng rào và đánh tráo kiện hàng."
"DED_PROTO_Z_EXP_EMPTY_CRATES_TEXT","Gus's pallet was returned empty crates, not the parcel.","Pallet của Gus là thùng rỗng hoàn trả, không phải kiện hàng."
"DED_PROTO_Z_DED_SCANNER_MISUSED_TEXT","Someone other than Nadia used Nadia's scanner at 06:42.","Một người không phải Nadia đã dùng máy quét của Nadia lúc 06:42."
"DED_PROTO_Z_DED_FELIX_TOOK_SCANNER_TEXT","Felix took Nadia's scanner from the locker before it was used and returned it afterwards.","Felix đã lấy máy quét của Nadia từ tủ thiết bị trước khi máy được dùng, và trả lại sau đó."
"DED_PROTO_Z_DED_ONLY_FELIX_HAD_SCANNER_TEXT","Only Felix could have used Nadia's scanner at 06:42: it was signed out to him, he was the only person in the cage area, and a scanner can't be copied or operated remotely.","Chỉ Felix mới có thể đã dùng máy quét của Nadia lúc 06:42: máy được giao cho anh ta, anh ta là người duy nhất trong khu lồng chứa, và máy không thể sao chép hay điều khiển từ xa."
"DED_PROTO_Z_DED_FENCE_STAGED_TEXT","The fence was cut from inside the cage area, after someone had already walked to the parcel, to fake a break-in.","Hàng rào bị cắt từ bên trong khu lồng chứa, sau khi đã có người đi tới kiện hàng, nhằm dựng cảnh đột nhập."
"DED_PROTO_Z_CONCL_TEXT","Felix used Nadia's scanner, which he had taken from the locker on the promise of bringing it to her, to re-seal the switched parcel, then cut the fence from inside to make it look like an outside break-in.","Felix đã dùng máy quét của Nadia, thứ anh ta lấy từ tủ thiết bị với lời hứa mang đến cho cô, để niêm phong lại kiện hàng bị tráo, rồi cắt hàng rào từ bên trong để trông như có kẻ đột nhập từ ngoài vào."
"DED_PROTO_Z_TL_NADIA_LEAVES_LABEL","Nadia leaves the depot","Nadia rời kho hải quan"
"DED_PROTO_Z_TL_SCANNER_TAKEN_LABEL","Felix takes Nadia's scanner from the dock","Felix lấy máy quét của Nadia khỏi đế sạc"
"DED_PROTO_Z_TL_FERRY_BOARDING_LABEL","Nadia's ticket is scanned at North Pier","Vé của Nadia được quét tại Bến Bắc"
"DED_PROTO_Z_TL_SEAL_APPLIED_LABEL","Nadia's scanner seals parcel 118","Máy quét của Nadia niêm phong kiện hàng 118"
"DED_PROTO_Z_TL_FENCE_CUT_LABEL","The rear fence is cut","Hàng rào sau bị cắt"
"DED_PROTO_Z_TL_PALLET_MOVED_LABEL","Gus moves the covered pallet","Gus chuyển pallet phủ bạt"
"DED_PROTO_Z_TL_SCANNER_RETURNED_LABEL","Felix returns the scanner","Felix trả lại máy quét"
"DED_PROTO_Z_HINT_MISUSED_1","Ask yourself: where was Nadia at the moment her scanner sealed the parcel?","Hãy tự hỏi: Nadia đang ở đâu vào đúng lúc máy quét của cô niêm phong kiện hàng?"
"DED_PROTO_Z_HINT_MISUSED_2","Compare times, places, and how long it takes to travel between them.","Hãy so sánh thời gian, địa điểm, và thời gian cần để di chuyển giữa chúng."
"DED_PROTO_Z_HINT_MISUSED_3","The seal registry, the ferry gate record and the port map note belong together.","Sổ niêm phong, dữ liệu cổng lên phà và ghi chú bản đồ cảng có liên quan với nhau."
"DED_PROTO_Z_HINT_MISUSED_4","Someone other than Nadia used her scanner at 06:42.","Một người không phải Nadia đã dùng máy quét của cô lúc 06:42."
"DED_PROTO_Z_HINT_ACCESS_1","The scanner wasn't in Nadia's hands. Whose hands could it have been in at 06:42, and nobody else's?","Máy quét không nằm trong tay Nadia. Lúc 06:42 nó có thể nằm trong tay ai, và không thể nằm trong tay người nào khác?"
"DED_PROTO_Z_HINT_ACCESS_2","Look at who had possession of the scanner, where they were, and who else could have been there.","Hãy xem ai đang giữ máy quét, người đó ở đâu, và còn ai khác có thể có mặt ở đó."
"DED_PROTO_Z_HINT_ACCESS_3","Compare the equipment locker log with the cage-area camera log.","Hãy đối chiếu sổ tủ thiết bị với nhật ký camera khu lồng chứa."
"DED_PROTO_Z_HINT_ACCESS_4","Start from what the seal record already proves: someone other than Nadia used the scanner at 06:42.","Hãy bắt đầu từ điều sổ niêm phong đã chứng minh: một người không phải Nadia đã dùng máy quét lúc 06:42."
"DED_PROTO_Z_HINT_STAGED_1","What does the cut fence actually tell you about how the parcel was reached?","Hàng rào bị cắt thực sự cho bạn biết gì về cách tiếp cận kiện hàng?"
"DED_PROTO_Z_HINT_STAGED_2","Look closely at the scene, and at what the safety sheet says about cut wire.","Hãy quan sát kỹ hiện trường và xem bảng an toàn nói gì về dây bị cắt."
"DED_PROTO_Z_HINT_STAGED_3","The cut fence, the safety sheet and the bent wire ends belong together.","Hàng rào bị cắt, bảng an toàn và các đầu dây bị cong có liên quan với nhau."
"DED_PROTO_Z_HINT_STAGED_4","The fence was cut from inside to fake a break-in.","Hàng rào bị cắt từ bên trong để dựng cảnh đột nhập."
"DED_PROTO_Z_HINT_CULPRIT_1","Who switched the parcel, and what did they do to hide how?","Ai đã đánh tráo kiện hàng, và họ đã làm gì để che giấu cách làm?"
"DED_PROTO_Z_HINT_CULPRIT_2","Combine who alone could have used the means of access with what was staged at the scene.","Hãy kết hợp việc ai là người duy nhất có thể dùng phương tiện truy cập với những gì được dàn dựng tại hiện trường."
"DED_PROTO_Z_HINT_CULPRIT_3","The cage-area camera log and the bent wire ends point the same way.","Nhật ký camera khu lồng chứa và các đầu dây bị cong cùng chỉ về một hướng."
"DED_PROTO_Z_HINT_CULPRIT_4","Only Felix could have used Nadia's scanner at 06:42.","Chỉ Felix mới có thể đã dùng máy quét của Nadia lúc 06:42."
"DED_PROTO_Z_TRUTH_SUMMARY","Nadia left at 06:02, leaving her scanner on the charging dock. Felix took it at 06:20, entered the cage area alone at 06:23, used it at 06:42 to re-seal the switched parcel, cut the fence from inside at 06:44, left the cage area at 06:51 and returned the scanner at 06:55. Gus's pallet was returned empty crates; he lied about being away from the yard to hide driving with a lapsed forklift licence.","Nadia rời đi lúc 06:02, để máy quét trên đế sạc. Felix lấy nó lúc 06:20, một mình vào khu lồng chứa lúc 06:23, dùng lúc 06:42 để niêm phong lại kiện hàng bị tráo, cắt hàng rào từ bên trong lúc 06:44, rời khu lồng chứa lúc 06:51 rồi trả máy lúc 06:55. Pallet của Gus chỉ là thùng rỗng hoàn trả; anh nói dối là không ở sân bãi để che giấu việc lái xe nâng khi giấy phép đã hết hạn."
"DED_PROTO_Z_PROTOA_EXP_DENIAL","Felix said he never handled the scanner — but the equipment locker log shows he personally took it at 06:20 and returned it at 06:55. A logged record puts it in his hands for thirty-five minutes.","Felix nói anh ta chưa từng động vào máy quét — nhưng sổ ghi ở tủ thiết bị cho thấy chính anh đã lấy máy lúc 06:20 và trả lại lúc 06:55. Bản ghi chép đặt nó vào tay anh suốt ba mươi lăm phút."
"DED_PROTO_Z_PROTOA_RESP_DENIAL","Felix's composure slips. 'Fine — I took the scanner. That doesn't mean I used it on anything.'","Vẻ bình tĩnh của Felix chùng xuống. 'Được rồi — tôi có lấy máy quét. Nhưng điều đó không có nghĩa là tôi đã dùng nó vào việc gì.'"
"DED_PROTO_Z_PROTOA_HINT_DENIAL_1","Felix insists he never handled the scanner. Is there a written record of who took equipment from the locker?","Felix khăng khăng rằng anh ta chưa từng động vào máy quét. Có bản ghi chép nào về việc ai đã lấy thiết bị từ tủ không?"
"DED_PROTO_Z_PROTOA_HINT_DENIAL_2","Look for a log about equipment taken and returned at the locker.","Tìm một cuốn sổ ghi lại việc thiết bị được lấy và trả lại ở tủ."
"DED_PROTO_Z_PROTOA_HINT_DENIAL_3","Review the equipment locker log.","Xem lại sổ ghi ở tủ thiết bị."
"DED_PROTO_Z_PROTOA_HINT_DENIAL_4","The locker log shows Felix himself took the scanner out under his own name.","Sổ ghi ở tủ thiết bị cho thấy chính Felix đã lấy máy quét ra dưới tên của mình."
"DED_PROTO_Z_PROTOA_EXP_FENCE","Felix claims someone cut the rear fence from the street — but the fence inspection shows the wire clippings fell on top of boot prints already leading to the parcel. Those prints existed before the fence was cut, so someone was already inside walking toward the parcel beforehand. Nobody cut their way in from outside; the fence was cut afterward, from inside the cage area, to look like an outside entry.","Felix khẳng định có kẻ lạ đã cắt hàng rào phía sau từ ngoài đường — nhưng khi kiểm tra hàng rào, các mẩu dây thép cắt ra lại rơi đè lên những dấu giày đã có sẵn dẫn đến kiện hàng. Những dấu giày đó đã tồn tại trước khi hàng rào bị cắt, nghĩa là đã có người ở bên trong đi về phía kiện hàng từ trước. Không ai cắt rào đột nhập từ bên ngoài cả; hàng rào bị cắt sau đó, từ bên trong khu lồng chứa, để tạo cảm giác như có người đột nhập."
"DED_PROTO_Z_PROTOA_RESP_FENCE","Felix's voice cracks. 'The boot prints — that doesn't prove anything!' It very much does.","Giọng Felix lạc đi. 'Mấy dấu giày đó — điều đó chẳng chứng minh được gì cả!' Trên thực tế thì có."
"DED_PROTO_Z_PROTOA_HINT_FENCE_1","Felix says someone cut their way in through the rear fence. Look closely at the order things happened at that fence.","Felix nói có kẻ lạ đã cắt hàng rào để đột nhập. Hãy xem kỹ trình tự các việc đã xảy ra ở hàng rào đó."
"DED_PROTO_Z_PROTOA_HINT_FENCE_2","Compare when the boot prints were left to when the fence was actually cut.","So sánh thời điểm để lại dấu giày với thời điểm hàng rào thực sự bị cắt."
"DED_PROTO_Z_PROTOA_HINT_FENCE_3","Review the fence inspection.","Xem lại kết quả kiểm tra hàng rào."
"DED_PROTO_Z_PROTOA_HINT_FENCE_4","The wire clippings from cutting the fence lie on top of boot prints that were already there — the fence was cut after someone had already walked to the parcel, not before.","Các mẩu dây thép từ việc cắt hàng rào lại nằm đè lên những dấu giày đã có từ trước — hàng rào bị cắt sau khi có người đã đi đến kiện hàng, chứ không phải trước đó."
"DED_PROTO_Z_PROTOA_EXP_GUS","Gus claimed he wasn't in the yard — but the dispatch manifest shows he personally moved a pallet there at about 06:47, right when he says he wasn't around.","Gus khai rằng anh không có mặt ở sân bãi — nhưng bản kê hàng hóa cho thấy chính anh đã di chuyển một pallet ở đó lúc khoảng 06:47, đúng lúc anh nói mình không ở đó."
"DED_PROTO_Z_PROTOA_RESP_GUS","Gus grimaces. 'Alright — I was driving the forklift on a lapsed licence. I didn't want that written down.' It has nothing to do with the parcel.","Gus nhăn mặt. 'Được rồi — tôi lái xe nâng khi giấy phép đã hết hạn. Tôi không muốn chuyện đó bị ghi lại.' Điều này chẳng liên quan gì đến kiện hàng."
"DED_PROTO_Z_PROTOA_COMPLETION","Felix's testimony falls apart on both counts: the locker log puts Nadia's scanner in his hands, and the rear fence was staged from inside after he'd already been at the parcel. His story of never handling the scanner and of an outside entry through the fence are both exposed as lies.","Lời khai của Felix sụp đổ ở cả hai điểm: sổ ghi ở tủ thiết bị đặt máy quét của Nadia vào tay anh ta, còn hàng rào phía sau lại được dàn dựng từ bên trong sau khi anh đã có mặt ở kiện hàng. Cả câu chuyện 'chưa từng động vào máy quét' lẫn 'có kẻ đột nhập qua hàng rào' của anh đều bị vạch trần là dối trá."
"UI_DEDUCTION_LAB_NON_CANON_BADGE","NON-CANON PROTOTYPE","NGUYÊN MẪU — KHÔNG PHẢI CHÍNH SỬ"
"UI_PROTOTYPE_A_LAUNCH_BUTTON","Launch Prototype A — Statement Contradiction","Khởi Chạy Nguyên Mẫu A — Mâu Thuẫn Lời Khai"
"UI_PROTOTYPE_A_TITLE","Prototype A — Statement Contradiction","Nguyên Mẫu A — Mâu Thuẫn Lời Khai"
"UI_PROTOTYPE_A_OBJECTIVE","Objective: find the contradiction in the testimony, then present the one piece of evidence that exposes it.","Mục tiêu: tìm ra mâu thuẫn trong lời khai, rồi đưa ra đúng một bằng chứng để vạch trần nó."
"UI_PROTOTYPE_A_CASE_FILE","Case File","Hồ Sơ Vụ Án"
"UI_PROTOTYPE_A_PREVIOUS","Previous","Trước"
"UI_PROTOTYPE_A_NEXT","Next","Tiếp"
"UI_PROTOTYPE_A_HINT","Hint","Gợi Ý"
"UI_PROTOTYPE_A_PRESENT","Present Evidence","Đưa Ra Bằng Chứng"
"UI_PROTOTYPE_A_CONTINUE","Continue","Tiếp Tục"
"UI_PROTOTYPE_A_RESTART","Restart","Chơi Lại"
"UI_PROTOTYPE_A_RETURN_TO_LAB","Return to Lab","Về Phòng Thí Nghiệm"
"UI_PROTOTYPE_A_START","Start","Bắt Đầu"
"UI_PROTOTYPE_A_CONFIRM_RESTART","Restart this run? All progress will be lost.","Chơi lại từ đầu? Toàn bộ tiến trình sẽ mất."
"UI_PROTOTYPE_A_CONFIRM_EXIT","Return to the Lab? Your progress in this run will be lost.","Về Phòng Thí Nghiệm? Tiến trình của lượt chơi này sẽ mất."
"UI_PROTOTYPE_A_RECORDER_START","Start Recording","Bắt Đầu Ghi"
"UI_PROTOTYPE_A_RECORDER_STOP","Stop","Dừng"
"UI_PROTOTYPE_A_RECORDER_CLEAR","Clear","Xóa"
"UI_PROTOTYPE_A_RECORDER_EXPORT","Export Recording","Xuất Bản Ghi"
"UI_PROTOTYPE_A_FEEDBACK_IRRELEVANT","That evidence doesn't address what this statement actually claims.","Bằng chứng đó không liên quan đến điều lời khai này thực sự nói."
"UI_PROTOTYPE_A_FEEDBACK_INSUFFICIENT","That evidence raises suspicion, but it doesn't directly contradict this statement on its own.","Bằng chứng đó gây nghi ngờ, nhưng tự nó chưa trực tiếp mâu thuẫn với lời khai này."
"UI_PROTOTYPE_A_FEEDBACK_COMPATIBLE","That evidence is consistent with the statement — it doesn't actually contradict it.","Bằng chứng đó phù hợp với lời khai — nó không thực sự mâu thuẫn với lời khai."
"UI_PROTOTYPE_A_FEEDBACK_INVALID","Select a statement and one piece of evidence before presenting.","Hãy chọn một lời khai và một bằng chứng trước khi đưa ra."
"UI_PROTOTYPE_A_FEEDBACK_SUCCESS_HEADLINE","Contradiction exposed!","Mâu Thuẫn Đã Bị Vạch Trần!"
"UI_PROTOTYPE_A_FEEDBACK_OPTIONAL_HEADLINE","A lie — but not the one you're looking for.","Một lời nói dối — nhưng không phải điều bạn đang tìm."
"UI_PROTOTYPE_A_ROUND_LABEL","Part %d of %d","Phần %d trên %d"
"UI_PROTOTYPE_A_STATS_OPTIONAL","Optional contradictions found: %d","Mâu thuẫn phụ đã tìm thấy: %d"
"UI_PROTOTYPE_A_COMPLETE_TITLE","Testimony Broken","Lời Khai Đã Bị Vạch Trần"
"UI_PROTOTYPE_A_EVIDENCE_UNOPENED","Unopened","Chưa Xem"
"UI_PROTOTYPE_A_EVIDENCE_OPEN_BUTTON","Open","Xem"
"UI_PROTOTYPE_A_SELECT_BUTTON","Select","Chọn"
"UI_PROTOTYPE_A_SELECTED_LABEL","Selected","Đã Chọn"
"UI_PROTOTYPE_A_CONFIRM_PRESENT","Present this evidence?","Đưa ra bằng chứng này?"
"UI_PROTOTYPE_A_NO_CASE_SELECTED","No case selected yet.","Chưa chọn vụ án nào."
"UI_PROTOTYPE_A_STATEMENT_LABEL","Statement","Lời Khai"
"UI_PROTOTYPE_A_NONE_SELECTED","(none selected)","(chưa chọn)"
"UI_PROTOTYPE_B_TITLE","Prototype B — Clue Connection","Nguyên Mẫu B — Kết Nối Manh Mối"
"UI_PROTOTYPE_B_LAUNCH_BUTTON","Launch Prototype B — Clue Connection","Khởi Chạy Nguyên Mẫu B — Kết Nối Manh Mối"
"UI_PROTOTYPE_B_RETURN_TO_LAB","Return to Lab","Quay Lại Phòng Thí Nghiệm"
"UI_PROTOTYPE_B_START","Start","Bắt Đầu"
"UI_PROTOTYPE_B_RESTART","Restart","Chơi Lại"
"UI_PROTOTYPE_B_NO_CASE_SELECTED","No case selected yet.","Chưa chọn vụ án nào."
"UI_PROTOTYPE_B_CASE_FILE","Case File","Hồ Sơ Vụ Án"
"UI_PROTOTYPE_B_HINT","Hint","Gợi Ý"
"UI_PROTOTYPE_B_CONTINUE","Continue","Tiếp Tục"
"UI_PROTOTYPE_B_SLOT_LABEL","Slot %d","Ô %d"
"UI_PROTOTYPE_B_SLOT_EMPTY","(empty)","(trống)"
"UI_PROTOTYPE_B_PLACE_BUTTON","Place","Đặt Vào"
"UI_PROTOTYPE_B_REMOVE_BUTTON","Remove","Gỡ Ra"
"UI_PROTOTYPE_B_EVIDENCE_OPEN_BUTTON","Open","Xem"
"UI_PROTOTYPE_B_EVIDENCE_UNOPENED","(unopened)","(chưa xem)"
"UI_PROTOTYPE_B_PLACED_LABEL","Placed","Đã Đặt"
"UI_PROTOTYPE_B_QUESTION_LABEL","Investigation question","Câu hỏi điều tra"
"UI_PROTOTYPE_B_COMPLETE_TITLE","Two Deductions Formed","Đã Hình Thành Hai Suy Luận"
"UI_PROTOTYPE_B_CONFIRM_RESTART","Restart? All progress on this run will be lost.","Chơi lại? Mọi tiến trình của lượt chơi này sẽ mất."
"UI_PROTOTYPE_B_CONFIRM_EXIT","Return to the Lab? Your progress on this run will be lost.","Quay lại Phòng Thí Nghiệm? Tiến trình của lượt chơi này sẽ mất."
"UI_PROTOTYPE_B_RECORDER_START","Start Recording","Bắt Đầu Ghi"
"UI_PROTOTYPE_B_RECORDER_STOP","Stop","Dừng"
"UI_PROTOTYPE_B_RECORDER_CLEAR","Clear","Xóa"
"UI_PROTOTYPE_B_RECORDER_EXPORT","Export Recording","Xuất Bản Ghi"
"UI_PROTOTYPE_B_STATS_OPENED","Clues opened: %d","Số manh mối đã xem: %d"
"UI_PROTOTYPE_B_STATS_REPLACEMENTS","Clue replacements: %d","Số lần thay manh mối: %d"
"UI_PROTOTYPE_B_FEEDBACK_SUCCESS_HEADLINE","Theory confirmed — both connections hold","Giả thuyết được xác nhận — cả hai kết nối đều đứng vững"
"UI_PROTOTYPE_B_FEEDBACK_INVALID","Fill every slot in every draft with a distinct piece of evidence before committing the theory.","Hãy lấp đầy mọi ô trong mọi bản nháp bằng các manh mối khác nhau trước khi xác nhận giả thuyết."
"UI_PROTOTYPE_B_STATS_DRAFTS_SAVED","Drafts saved: %d","Số lần lưu bản nháp: %d"
"UI_PROTOTYPE_B_DRAFT_TAB","Question %d","Câu hỏi %d"
"UI_PROTOTYPE_B_DRAFT_TAB_CURRENT","current","đang xem"
"UI_PROTOTYPE_B_DRAFT_FILLED","%d/%d filled","đã điền %d/%d"
"UI_PROTOTYPE_B_DRAFT_STATUS","Unverified Draft — %d/%d slots filled","Bản nháp chưa kiểm chứng — đã điền %d/%d ô"
"UI_PROTOTYPE_B_DRAFT_SAVED_LABEL","saved","đã lưu"
"UI_PROTOTYPE_B_DRAFT_UNSAVED_LABEL","not saved","chưa lưu"
"UI_PROTOTYPE_B_DRAFT_SAVED_STATUS","Draft saved. It stays unverified until you commit the whole theory.","Đã lưu bản nháp. Bản nháp vẫn chưa được kiểm chứng cho đến khi bạn xác nhận toàn bộ giả thuyết."
"UI_PROTOTYPE_B_SAVE_DRAFT","Save Draft","Lưu Bản Nháp"
"UI_PROTOTYPE_B_COMMIT_THEORY","Commit Theory","Xác Nhận Giả Thuyết"
"UI_PROTOTYPE_B_COMMIT_HELP","Draft an answer for every question, then commit the whole theory at once. Drafts are never checked until you commit.","Hãy soạn câu trả lời cho mọi câu hỏi, rồi xác nhận toàn bộ giả thuyết một lần. Bản nháp không được kiểm tra cho đến khi bạn xác nhận."
"UI_PROTOTYPE_B_FEEDBACK_THEORY_REJECTED","At least one connection in this theory is not sufficiently established.","Có ít nhất một kết nối trong giả thuyết này chưa được thiết lập đủ vững."
"UI_PROTOTYPE_B_FEEDBACK_GUIDED","Take another look at this question: %s","Hãy xem lại câu hỏi này: %s"
"UI_PROTOTYPE_B_FEEDBACK_DUPLICATE","You've already committed exactly this theory. Change at least one connection first — this costs nothing.","Bạn đã xác nhận đúng giả thuyết này rồi. Hãy thay đổi ít nhất một kết nối trước — lần này không bị tính."
"UI_PROTOTYPE_B_FEEDBACK_ALREADY_ACCEPTED","This theory is already confirmed.","Giả thuyết này đã được xác nhận."
"UI_PROTOTYPE_B_ASSISTANCE_FOCUS","Your partner points you back to this question: %s","Cộng sự của bạn gợi ý xem lại câu hỏi: %s"
"UI_PROTOTYPE_B_PARTNER_NOTE","For “%s”, your partner connected: %s.","Với “%s”, cộng sự của bạn đã kết nối: %s."
"DED_PROTO_X_PROTOB_Q1","What does the door log really tell you about who used Mara's badge?","Đâu là điều mà sổ ghi cửa thực sự cho thấy về việc ai đã dùng thẻ của Mara?"
"DED_PROTO_X_PROTOB_EXP1","The door log proves the badge was physically held to the reader at 20:06. The transit map note shows the trip from Harbor takes at least 25 minutes. The record placing Mara herself at Harbor around that time shows she was too far away to have presented the badge in person. Together, these facts show someone other than Mara used her badge.","Sổ ghi cửa chứng minh chiếc thẻ đã thực sự được đưa vào đầu đọc lúc 20:06. Ghi chú bản đồ giao thông cho thấy quãng đường từ Harbor mất ít nhất 25 phút. Bản ghi xác nhận chính Mara có mặt ở Harbor vào khoảng thời gian đó cho thấy cô ở quá xa để có thể tự mình đưa thẻ vào đầu đọc. Cùng nhau, những sự kiện này cho thấy có người khác ngoài Mara đã dùng thẻ của cô."
"DED_PROTO_X_PROTOB_Q2","What does the forced window really show about how the room was entered?","Đâu là điều mà cửa sổ bị phá thực sự cho thấy về cách căn phòng bị xâm nhập?"
"DED_PROTO_X_PROTOB_EXP2","The window-repair guide states that a forced latch bends away from the side the force came from. The latch is bent outward, toward the courtyard. The forced-window inspection also shows the frame dust settled on top of footprints that already led to the shelf — those footprints existed before the window was forced. Together, these facts show the window was forced from inside, after someone had already walked to the shelf, to fake an outside break-in.","Hướng dẫn sửa cửa sổ ghi rằng một chốt bị phá sẽ bẻ cong về phía ngược với hướng lực tác động. Chốt cửa bị bẻ cong ra ngoài, về phía sân trong. Việc kiểm tra cửa sổ bị phá cũng cho thấy lớp bụi từ khung cửa rơi đè lên những dấu chân đã có sẵn dẫn đến kệ sách — những dấu chân đó đã tồn tại trước khi cửa sổ bị phá. Cùng nhau, những sự kiện này cho thấy cửa sổ bị phá từ bên trong, sau khi có người đã đi đến kệ sách, để tạo cảm giác như có người đột nhập từ bên ngoài."
